scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2067,3282444.771757322,3217121.0131480703,65323.75860925169,1360143.0023492787,1922301.769408043,129626.31073228779,783179.6002058983,2369638.860819136,0.019900946748992617,0.7219127892745938
both_inflows_zero,2068,3127743.2653038297,3066311.2586760554,61432.00662777462,1288920.0259239564,1838823.2393798733,122325.748188625,739550.0648092801,2265867.4523059246,0.019641000368937605,0.7244416373432164
both_inflows_zero,2069,2977368.279451939,2919692.748035726,57675.5314162121,1220302.081980337,1757066.1974716012,115212.52000289422,699368.1201298159,2162787.639319228,0.01937131251590709,0.726409176266681
both_inflows_zero,2070,2831390.894737022,2777339.558601078,54051.336135943944,1154286.5747627849,1677104.319974237,108324.04203637742,662283.9166424711,2060782.936058173,0.019090029651650835,0.7278341326479322
both_inflows_zero,2071,2689895.677926692,2639338.4661094164,50557.211817275915,1090868.1495362613,1599027.5283904306,101691.65188370485,627985.2819173251,1960218.744125662,0.018795231440441665,0.7287341141930649
both_inflows_zero,2072,2552296.738655895,2505120.3964215396,47176.342234355565,1029770.6528179194,1522526.0858379751,95341.46557482312,600160.627509896,1856794.645571176,0.018483878273182233,0.7274995173754802
both_inflows_zero,2073,2418475.0426729703,2374580.9555520616,43894.0871209089,970974.3894013949,1447500.6532715755,89237.44403113649,573139.5244314629,1756098.074210371,0.018149489387492647,0.7261179227508088
both_inflows_zero,2074,2289036.304401043,2248312.9437185153,40723.360682527265,914569.4195628759,1374466.8848381664,83414.18869006896,546840.2318638886,1658781.8838470853,0.01779061371994407,0.7246638599212291
both_inflows_zero,2075,2164096.943166585,2126430.177366955,37666.765799629786,860561.6463587218,1303535.2968078635,77898.45678091208,521193.63329977664,1565004.8530858965,0.01740530428572872,0.7231676279695329
both_inflows_zero,2076,2043749.532687,2009022.6153811123,34726.91730588774,808946.2916124186,1234803.2410745814,72710.19798619581,496144.6077279958,1474894.7269728084,0.0169917677046418,0.7216611934994327
both_inflows_zero,2077,1928058.553804099,1896152.1845117086,31906.369292390773,759708.1465457114,1168350.407258388,67863.62440397877,471875.87020979787,1388319.0591903226,0.016548444148357867,0.720060631172814
